Slovenia	World/si.png	Maja Keuc	Zmaji	123
Macedonia	World/mk.png	Billy Esteban & Majnoon ft. Aleksandar Jovevski	Kapalicarsi	109
Belarus	World/by-alt.png	NOCHY	Pa ščokach	100
Sweden	World/se.png	Swedish House Mafia ft. Niki & The Dove	Lioness	97
Bulgaria	World/bg.png	Kan Wakan ft. Saigo	IO	82
Brazil	World/br.png	Sevdaliza, Pabllo Vittar & Yseult	Alibi	80
Greece	World/gr.png	Antonia Kaouri	Anosi	75
Switzerland	World/ch.png	Raffa Guido	Famax	72
Denmark	World/dk.png	Freja Kirk	Man kan græde oceaner	68
United Kingdom	World/gb.png	Kelly Lee Owens	Love You Got	67
Lithuania	World/lt.png	Lukas Pilkauskas	Honda Civic	61
Australia	World/au.png	Gryff ft. Max Cruise	Losing Touch	60
Russia	World/ru.png	Monetochka	Eto bylo v Rossii	59
Spain	World/es.png	Suzete x Lola Indigo	Kombolewa	58
United States	World/us.png	Billie Eilish	LUNCH	58
Turkey	World/tr.png	Gülşen	Bal	56
Croatia	World/hr.png	Grše	Forza	55
The Netherlands	World/nl.png	Isza	Bevroren stem	54
Portugal	World/pt.png	Diogo Piçarra	Há sempre uma música	54
India	World/in.png	Madhubanti Bagchi, Divya Kumar & Sachin-Jigar	Aaj ki raat	47
Estonia	World/ee.png	Heleza	Halloo	47
Albania	World/al.png	Alban Skënderaj	Obesesion	47
Serbia	World/rs.png	Dea Magna x Reblok	Okano	45
Montenegro	World/me.png	Suzana Tot	Crni đavole	43
Norway	World/no.png	Red Moon	I Run	43
Austria	World/at.png	Eli Preiss & prodbypengg	(von hier bis) Tokio	38
Finland	World/fi.png	Brian	Ilosaaressa tuulee	34
Israel	World/il.png	Netta	Hakol alay	32
Kosovo	World/xk.png	Ard Gashi	Nana	30
France	World/fr.png	Lisa Pariente	Je m'en fous	28
China	World/cn.png	Shan Yichun 单依纯	Lil' Sis 纯妹妹	17
Cyprus	World/cy.png	Stephanos Pelekanis & Michalis Hadjimichael	Ston nou mou esinnefkiasen	17
